No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
2,15-10-2024,BB KILAT 18MM 1X,2800000,BELUM LUNAS,BINTANG TERANG
4,30-10-2024,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
5,31-10-2024,PVC BOARD 18MM,10200000,BELUM LUNAS,TETAP JAYA
11,12-10-2024,HMR DOFF 3MM,25400000,BELUM LUNAS,CEMARA JAYA
12,15-10-2024,PLY UT 3MM MERANTI,16046000,BELUM LUNAS,CEMARA JAYA
13,17-10-2024,PVC BOARD 18MM,12272000,BELUM LUNAS,CEMARA JAYA
14,22-10-2024,PVC BOARD 5MM,5840000,BELUM LUNAS,CEMARA JAYA
15,22-10-2024,PVC BOARD 12MM,9825000,BELUM LUNAS,CEMARA JAYA
16,31-10-2024,PVC BOARD 18MM,23350000,BELUM LUNAS,CEMARA JAYA
17,23-10-2024,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
18,23-10-2024,BB KILAT 18MM 2X,3580000,BELUM LUNAS,MEDAN JAYA
26,28-10-2024,PVC BOARD 5MM,2550000,BELUM LUNAS,SUMARSONO ONGKO
27,04-09-2024,PVC BOARD 8MM,7740000,BELUM LUNAS,ASIONG
30,23-10-2024,PVC BOARD 18MM,22500000,BELUM LUNAS,ANEKA REJEKI
31,24-10-2024,PVC BOARD 5MM,370000,BELUM LUNAS,MEGAH JAYA BOGOR
32,24-10-2024,PVC BOARD 9MM,300000,BELUM LUNAS,MEGAH JAYA BOGOR
33,24-10-2024,PVC BOARD 18MM,2800000,BELUM LUNAS,MEGAH JAYA BOGOR
35,04-11-2024,PVC BOARD 5MM,4380000,BELUM LUNAS,CEMARA JAYA
36,04-11-2024,PVC BOARD 12MM,9810000,BELUM LUNAS,CEMARA JAYA
37,05-11-2024,PVC BOARD 5MM,2920000,BELUM LUNAS,CEMARA JAYA
38,05-11-2024,PVC BOARD 8MM,4600000,BELUM LUNAS,CEMARA JAYA
39,05-11-2024,PVC BOARD 12MM,6540000,BELUM LUNAS,CEMARA JAYA
40,05-11-2024,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
41,07-11-2024,PVC BOARD 15MM,5698000,BELUM LUNAS,CEMARA JAYA
42,07-11-2024,PVC BOARD 12MM,4578000,BELUM LUNAS,CEMARA JAYA
43,07-11-2024,PVC BOARD 8MM,2300000,BELUM LUNAS,CEMARA JAYA
44,07-11-2024,PVC BOARD 5MM,1460000,BELUM LUNAS,CEMARA JAYA
45,08-11-2024,PVC BOARD 8MM,690000,BELUM LUNAS,CEMARA JAYA
46,09-11-2024,PVC BOARD 8MM,11500000,BELUM LUNAS,CEMARA JAYA
47,12-11-2024,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
48,16-11-2024,POLY KILAT BANGAU 3MM,12700000,BELUM LUNAS,MINDO JAYA
49,18-11-2024,PVC BOARD 8MM,3450000,BELUM LUNAS,CEMARA JAYA
50,18-11-2024,PVC BOARD 12MM,4905000,BELUM LUNAS,CEMARA JAYA
51,18-11-2024,PVC BOARD 15MM,5291000,BELUM LUNAS,CEMARA JAYA
52,18-11-2024,PVC BOARD 8MM,8050000,BELUM LUNAS,CEMARA JAYA
53,20-11-2024,PVC BOARD 12MM,380000,BELUM LUNAS,USAHA BARU
54,20-11-2024,BB KILAT 18MM 2X,5265000,BELUM LUNAS,GIAT PROFIL
55,21-11-2024,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
56,21-11-2024,BB KILAT 18MM 2X,5728000,BELUM LUNAS,MEDAN JAYA
57,23-11-2024,PVC BOARD 12MM,4845000,BELUM LUNAS,CEMARA JAYA
58,23-11-2024,PVC BOARD 15MM,2025000,BELUM LUNAS,CEMARA JAYA
59,23-11-2024,PVC BOARD 15MM,2025000,BELUM LUNAS,CEMARA JAYA
60,23-11-2024,BB KILAT 18MM 1X,2790000,BELUM LUNAS,GIAT PROFIL
61,23-11-2024,BB KILAT 18MM 2X,3510000,BELUM LUNAS,GIAT PROFIL
62,26-11-2024,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
63,26-11-2024,PVC BOARD 3MM,1880000,BELUM LUNAS,CEMARA JAYA
64,26-11-2024,PVC BOARD 5MM,2145000,BELUM LUNAS,CEMARA JAYA
65,26-11-2024,PVC BOARD 9MM,2510000,BELUM LUNAS,CEMARA JAYA
66,30-11-2024,PLY UT 5MM KAYU ALAM,9600000,BELUM LUNAS,CEMARA JAYA
