id,Nama Barang,Stok,Lokasi
1,BB KILAT 18MM 1X,0,BILAL
2,BB KILAT 18MM 2X,1,BILAL
3,BB POLOS 18MM,30,BILAL
4,PVC BOARD 3MM,20,BILAL
5,PVC BOARD 5MM,16,BILAL
6,PVC BOARD 8MM,22,BILAL
7,PVC BOARD 9MM,15,BILAL
8,PVC BOARD 12MM,5,BILAL
9,PVC BOARD 15MM,9,BILAL
10,PVC BOARD 18MM,16,BILAL
11,PVC BOARD 8MM GREY,10,BILAL
12,PVC BOARD 12MM GREY,3,BILAL
13,PVC BOARD 18MM SEVEN,0,BILAL
14,PVC BOARD 15MM SEVEN,9,BILAL
15,PVC BOARD 8MM SEVEN,0,BILAL
16,PVC BOARD 5MM SEVEN,4,BILAL
17,PVC BOARD 9MM SEVEN,0,BILAL
18,PVC BOARD 12MM SEVEN,16,BILAL
19,PVC BOARD 3MM SEVEN,0,BILAL
20,BB DOFF 18MM,0,GUDANG 888
21,BB KILAT 18MM 1X,646,GUDANG AA5
22,BB KILAT 18MM 2X,304,GUDANG AA5
23,POLY DOFF BANGAU 3MM,550,GUDANG AA5
24,POLY KILAT BANGAU 3MM,700,GUDANG AA5
25,POLY DOFF HARIMAU 3MM,0,GUDANG AA5
26,POLY KILAT HARIMAU 3MM,40,GUDANG AA5
27,POLY KILAT DIAMOND 3MM,1305,GUDANG AA5
28,POLY DOFF DIAMOND 3MM,200,GUDANG AA5
29,HMR DOFF 3MM,250,GUDANG AA5
30,PLY UT 3MM MERANTI,425,GUDANG AA5
31,"PLY UT 3,6MM KAYU ALAM",0,GUDANG AA5
32,PLY UT 8MM KAYU ALAM,120,GUDANG AA5
33,PLY UT 5MM KAYU ALAM,300,GUDANG AA5
34,PLY UT 12MM KAYU ALAM,0,GUDANG AA5
35,PVC BOARD 3MM,175,GUDANG AA5
36,PVC BOARD 5MM,40,GUDANG AA5
37,PVC BOARD 8MM,0,GUDANG AA5
38,PVC BOARD 9MM,44,GUDANG AA5
39,PVC BOARD 12MM,0,GUDANG AA5
40,PVC BOARD 15MM,0,GUDANG AA5
41,PVC BOARD 18MM,29,GUDANG AA5
42,BA 101 BRIGHT WHITE,30,BILAL
43,BA 502 SNOWY,2,BILAL
44,BA 323 BLACK QUART,3,BILAL
45,BA 7858,4,BILAL
46,BA 201 JADE SNOW,5,BILAL
47,BW 202 CAFÉ MOCHA,0,BILAL
48,BA 830 FROST,2,BILAL
49,BA 696 METALIC BLACK,8,BILAL
50,BA 933 PEMA WHITE,3,BILAL
51,BPW 701,5,BILAL
52,BSW 6060 CALACTA GRIGIO,2,BILAL
53,BA 2018 TROYA,6,BILAL
54,BA 2015 PINACLE,4,BILAL
55,GM 248 STRAW COMET,1,BILAL
56,GM 816 CRYSTAL PLANET,1,BILAL
57,G 510 BEIGE COMET,3,BILAL
58,KE 915 MYSTERY COMET,1,BILAL
59,G 209 WOOD GALAXY,1,BILAL
60,KE 910 SPRING GALAXY,2,BILAL
61,GM 868 CAFÉ COMET,1,BILAL
62,KE 2057 SWAN PLANET,2,BILAL
63,KE 015 IQ PLANET,1,BILAL
64,GM 1172 GREY QUARTZ,1,BILAL
64,BSW 3011 Callacta Bianco,5,Bilal
65,HPL PUTIH KILAT,336,BILAL
66,HPL PUTIH DOFF,272,BILAL
67,HPL PUTIH MARMER,28,BILAL
68,HPL HITAM KILAT,75,BILAL
69,HPL HITAM DOFF,72,BILAL
70,HPL HITAM SERAT JERUK,29,BILAL
71,PVC BOARD 18MM SEVEN,110,GUDANG AA5
72,PVC BOARD 15MM SEVEN,84,GUDANG AA5
73,PVC BOARD 8MM SEVEN,65,GUDANG AA5
74,PVC BOARD 5MM SEVEN,473,GUDANG AA5
75,PVC BOARD 9MM SEVEN,290,GUDANG AA5
76,PVC BOARD 12MM SEVEN,197,GUDANG AA5
77,PVC BOARD 3MM SEVEN,199,GUDANG AA5
78,KERAWANGAN 8400,159,BILAL
79,KERAWANGAN 8406,161,BILAL
80,KERAWANGAN 8425,107,BILAL
81,KERAWANGAN 8428,108,BILAL
82,MDF 3MM,0,GUDANG AA5
83,HPL G4-S30 Croc W,0,Bilal
84,HPL A3-191-G Spark Red,10,Bilal
85,HPL A3-191-T Spark Red,10,Bilal
86,HPL A3-228-G Chrysantemum,10,Bilal
87,HPL A5-302 Acromax Pro,5,Bilal
88,HPL A6-B11 Lumin Blue,10,Bilal
89,HPL E1-100-G Fortune White Gloss,7,Bilal
90,HPL E1-100-M Fortune White Doff,8,Bilal
91,HPL G10-C250 Rosa Travertine,5,Bilal
92,HPL G10-C300 Breccia Aurora,3,Bilal
93,HPL G3-300-SS Senz Russo,10,Bilal
94,HPL G3-350-SS Senz Moka,10,Bilal
95,HPL G4-F32 Las Vero,11,Bilal
96,HPL G4-F42 Las Fioro,10,Bilal
97,HPL G4-F44 Las Paloma,10,Bilal
98,HPL G4-S40 Croc B,8,Bilal
99,HPL G4-4002-PG Pearl Carbide,16,Bilal
100,HPL G5-2570-P Veltch Walnut 2,0,Bilal
101,HPL G5-2573-P Sunwashed Mahagony,10,Bilal
102,HPL G5-2692-R Santa Masone,10,Bilal
103,HPL G5-3241-R Limber Pinnace,10,Bilal
104,HPL G5-4040-PG Pearl Whimsical,7,Bilal
105,HPL G5-4050-PG Pearl Piazza,16,Bilal
106,HPL G5-480 Pozzolan Lxus,12,Bilal
107,HPL G5-9350-P K Dimension,5,Bilal
108,HPL G5-9310-P J Dimension,5,Bilal
109,HPL G7-630 Rv Copper,10,Bilal
110,HPL G7-660 Rv Rex,8,Bilal
111,HPL G7-E51 EPI Black,1,Bilal
112,HPL G7-E52 EPI White,1,Bilal
113,HPL G7-3511 Elite Meadow,0,Bilal
114,HPL G7-5230-R Retrouve Wheat,10,Bilal
