id,Nama Barang,Stok,Lokasi
115,HPL G9-245 Bronze Steamline,4,Bilal
116,HPL G9-8101-G White Alu-Magic,2,Bilal
117,HPL M4-8550 Black Reflex,4,Bilal
118,HPL G9-8102-G Black Alu-Magic,8,Bilal
119,HPL A1-101-T Glacier,20,Bilal
120,HPL A1-71-T Maxim Grey,5,Bilal
121,HPL A1-88-T Fog Grey,10,Bilal
122,HPL A1-90-T Black,10,Bilal
123,HPL A1-254-T Winkle,1,Bilal
124,HPL A2-101-G Glacier Gloss,0,Bilal
125,HPL A2-102-T Alpha White,8,Bilal
126,HPL A2-119-G Ivory Delight,10,Bilal
127,HPL A2-163-T Moonlight,10,Bilal
128,HPL A2-254-G Winkle,10,Bilal
129,HPL A3-109-T Feather,10,Bilal
130,HPL A3-12-G Cocktail Pink,20,Bilal
131,HPL A3-180-G Oxford White,0,Bilal
132,HPL A3-526-G Midnight Grey,10,Bilal
133,HPL A3-56-G Sparkling Blue,10,Bilal
134,HPL A3-66-T Star Green,10,Bilal
135,HPL A3-81-T Winter Grey,10,Bilal
136,HPL A4-565-PG Carribean Blue,10,Bilal
137,HPL A4-575-PG Tibet Blue,9,Bilal
138,HPL A4-941-PG Pasocom,11,Bilal
139,HPL A4-984-PG Mercury,9,Bilal
140,HPL A6-B10 Lumin Green,10,Bilal
141,HPL A6-B12 Lumin Pink,6,Bilal
142,HPL D1-90-G Black,3,Bilal
143,HPL F-N440 Martina,5,Bilal
144,HPL G2-2081-R Scottish Pine,10,Bilal
145,HPL G3-200-SS Senz White,0,Bilal
146,HPL G3-220-SS Senz Latte,13,Bilal
147,HPL G3-230-SS Senz Elm,24,Bilal
148,HPL G3-2400-R Sculpt Valnot,0,Bilal
149,HPL G3-2402-R Sculpt Walnut,5,Bilal
150,HPL G3-290-SS Senz Zebra,10,Bilal
151,HPL G3-4942-R Elite Pear,10,Bilal
152,HPL G4-2351-R Picot Oak,2,Bilal
153,HPL G4-2817-R Wintry Nutcracker,10,Bilal
154,HPL G4-2818-R Warm Nutcracker,10,Bilal
155,HPL G4-4100-PG Pearl Snow,5,Bilal
156,HPL G5-1640-P Ridal Silkwood Doff,6,Bilal
157,HPL G5-1640-PG Ridal Silkwood Gloss,13,Bilal
158,HPL G5-1650-P Trito Silkwood Doff,11,Bilal
159,HPL G5-1650-PG Trito Silkwood Gloss,0,Bilal
160,HPL G5-1660-PG Mastic Silkwood,23,Bilal
161,HPL G5-2930-R Sunny Bisque,10,Bilal
162,HPL G5-3240-R Whim Pinnace,0,Bilal
163,HPL G5-3400-R Lenox Walnut,10,Bilal
164,HPL G5-3580-R Edgeline Sky,14,Bilal
165,HPL G5-3581-R Edgeline Warm,10,Bilal
166,HPL G5-3590-R Macchiato Biano,7,Bilal
167,HPL G5-3591-R Macchiato Bruno,10,Bilal
168,HPL G5-3701-R Into The Wild,13,Bilal
169,HPL G5-3703-R Artisan Plank,10,Bilal
170,HPL G5-3704-R Motley Olio,10,Bilal
171,HPL G5-3705-R Motley Medley,10,Bilal
172,HPL G5-4030-PG Pearl Lavish,3,Bilal
173,HPL G5-4220-R Balmy Nogal,10,Bilal
174,HPL G5-4230-R Balmy Noce,6,Bilal
175,HPL G5-482 Pozzolan Nexta,19,Bilal
176,HPL G5-4899-R Ibiza Walnut,6,Bilal
177,HPL G5-4955-R Winter Maple,5,Bilal
178,HPL G5-5010-PG Heartwood Apple,15,Bilal
179,HPL G5-5017-PG Santos Lazura,28,Bilal
180,HPL G5-5018-PG Santos Bona,18,Bilal
181,HPL G5-5019-PG Santos Dante,17,Bilal
182,HPL G5-5020-PG Casa Emerald,13,Bilal
183,HPL G5-5021-PG Casa Escano,9,Bilal
184,HPL G5-5094-PG Normin Chestnut,6,Bilal
185,HPL G5-5095-PG Ricko Chestnut,15,Bilal
186,HPL G5-5096-PG Summered Chestnut,10,Bilal
187,HPL G5-51-P Kenya,10,Bilal
188,HPL G5-6170-R Labrador,10,Bilal
189,HPL G5-619-PG Silver Charm,4,Bilal
190,HPL G5-65-P Sharkee Moka,15,Bilal
191,HPL G5-718 Wimbly,9,Bilal
192,HPL G5-9320-P X Dimension,10,Bilal
193,HPL G6-3299 Cliff Brownique,6,Bilal
194,HPL G6-6130-R Scaland Lake,15,Bilal
195,HPL G7-168 Pinnacle,2,Bilal
196,HPL G7-N02 Lantscap BW,7,Bilal
197,HPL G7-N04 Lantscap BK,5,Bilal
198,HPL G8-810 Pixel Snow,9,Bilal
199,HPL G8-820 Pixel Royale,0,Bilal
200,HPL G8-830 Pixel Knight,10,Bilal
201,HPL G9-244 Silver Steamline,0,Bilal
202,HPL M5-7020-P Gold Alum Brush,0,Bilal
203,HPL R1-107-G White,9,Bilal
204,HPL R1-127-G Ivory Gloss,5,Bilal
205,HPL R1-809-G Grey ,8,Bilal
206,HPL R1-90-G Black,9,Bilal
207,HPL 21T15 P Oak,0,Bilal
208,HPL 32R69 Kariba Wood,0,Bilal
209,HPL 29R26 Blake Wood,10,Bilal
210,HPL 32R94 Velv Wood,0,Bilal
211,HPL 23G13 B Orange G,10,Bilal
212,HPL 23T11 T Green,2,Bilal
213,HPL 23T33 Turquoise,0,Bilal
214,HPL 23T44 A Sapelli,9,Bilal
215,HPL 23T68 K Ply,5,Bilal
216,HPL 29T28 Odyssey,14,Bilal
217,HPL 29TM61 BK Ebony,7,Bilal
218,HPL 60M05 Cream M,8,Bilal
220,HPL MK-1006 Gold Mirror,0,Bilal
221,HPL 20G01 White G,13,Bilal
222,HPL 20M01 White M,3,Bilal
223,HPL 20T01 N White,2,Bilal
224,HPL 21T12 G Oak,22,Bilal
225,HPL 21T17 G Maple,13,Bilal
226,HPL 21T18 V Elm,0,Bilal
227,HPL 21T38 A Maple,25,Bilal
228,HPL 21T47 Nw Ash,0,Bilal
229,HPL 21T51 W Oak,3,Bilal
230,HPL 22G02 Ivory G,0,Bilal
231,HPL 22G10 Red G,21,Bilal
232,HPL 23B57 Valentine I,11,Bilal
233,HPL 23B58 Valentine II,26,Bilal
234,HPL 23B59 Valentine III,5,Bilal
235,HPL 23E53 Alpine Walnut,24,Bilal
236,HPL 23E67 Congo Teak,3,Bilal
237,HPL 23N39 TW Wood,4,Bilal
238,HPL 23T09 Funky Pink,5,Bilal
239,HPL 23T21 Natural Teak,0,Bilal
240,HPL 23T24 Lombok,20,Bilal
241,HPL 23T25 De Parquet,12,Bilal
242,HPL 23T28 N Stripwood,18,Bilal
243,HPL 23T29 H Walnut YK,13,Bilal
244,HPL 23T34 NB Yellow,8,Bilal
245,HPL 23T59 Eternal Walnut,8,Bilal
246,HPL 23T63 Scada Wood,3,Bilal
247,HPL 23T76 Flora W,10,Bilal
248,HPL 23T82 Dominic GB,10,Bilal
249,HPL 23T83 Dominic BP,9,Bilal
250,HPL 23U26 RV Parquet,0,Bilal
251,HPL 23U27 SV Parquet,14,Bilal
252,HPL 23U37 Trinity Wood L,0,Bilal
253,HPL 23U38 Trinity Wood D,0,Bilal
254,HPL 23U43 Golden Teak,7,Bilal
255,HPL 23U51 Matrix Wood I,12,Bilal
256,HPL 23V11 Silkwood D,5,Bilal
257,HPL 23V12 Silkwood L,2,Bilal
258,HPL 23V21 M Bark,30,Bilal
259,HPL 23V22 Valwood YK,1,Bilal
260,HPL 23V23 D Oak YK,13,Bilal
261,HPL 23V61 De Sawcut D,13,Bilal
262,HPL 23V62 De Sawcut L,0,Bilal
263,HPL 23V95 Chamois EL,2,Bilal
264,HPL 29F01 Duchess W,7,Bilal
265,HPL 29F10 Duchess FR,10,Bilal
266,HPL 29F35 Duchess J,10,Bilal
267,HPL 29F82 Duchess G,10,Bilal
268,HPL 29F90 Duchess B,4,Bilal
269,HPL 29G34 NB Yellow G,2,Bilal
270,HPL 29S62 Tuxedo 3,6,Bilal
271,HPL 29S64 Tuxedo 2,8,Bilal
272,HPL 29S65 Tuxedo 1,10,Bilal
273,HPL 29T37 LW Bamboo,0,Bilal
274,HPL 29T68 Fabrika D,2,Bilal
275,HPL 29TM57 WD Bamboo,0,Bilal
276,HPL 29TW93 ML Danzwood,11,Bilal
277,HPL 32E01 W Rustico,7,Bilal
278,HPL 38L02 Ivory Leather,13,Bilal
279,HPL 38L14 Brown Leather,12,Bilal
280,HPL 38L84 Maroon Leather,9,Bilal
281,HPL 38L90 Black Leather,1,Bilal
282,HPL 60M04 Vanilla M,20,Bilal
283,HPL 60M10 Red M,4,Bilal
284,HPL 60M28 Marigold M,3,Bilal
285,HPL 60T02 Peace,32,Bilal
286,HPL 60T10 Red,15,Bilal
287,HPL 60T14 D Pink,2,Bilal
288,HPL 60T23 Orange,15,Bilal
289,HPL 60T27 K Yellow,12,Bilal
290,HPL 60T31 B Green,13,Bilal
291,HPL 60T60 Purple,14,Bilal
292,HPL 60T64 R Purple,4,Bilal
293,HPL 60T72 T Blue,6,Bilal
294,HPL 60T75 M Blue ,3,Bilal
295,HPL 60T80 V Grey,1,Bilal
296,HPL 60T82 M Grey,2,Bilal
297,HPL 60T83 D Grey,9,Bilal
298,HPL 60T87 G Grey,4,Bilal
299,HPL 60T90 Black,0,Bilal
300,HPL 66T03 L Ivory,21,Bilal
301,HPL 80G91 Black G,0,Bilal
302,HPL 80T11 Lotus,9,Bilal
303,HPL 80T13 B Maple,0,Bilal
304,HPL 80T30 A Walnut,26,Bilal
305,HPL 80T37 T Beech,10,Bilal
306,HPL 80T49 GN Cherry,0,Bilal
307,HPL 80T78 S Grey,14,Bilal
308,HPL 80T80 M Wood,0,Bilal
309,HPL 80T81 G Wood,0,Bilal
310,HPL 80T89 C Wood,3,Bilal
311,HPL 80T90 D Beech,2,Bilal
312,HPL 80T97 L Zebra,24,Bilal
313,HPL 90M52 Memphis Teak,15,Bilal
314,HPL 90T16 H Elm,14,Bilal
315,HPL 90T17 R Cherry,19,Bilal
316,HPL 90T19 Revwood YK,9,Bilal
317,HPL 90T20 S Cherry,25,Bilal
318,HPL 90T21 P Cherry,35,Bilal
319,HPL 90T22 N Elm,17,Bilal
320,HPL 90T23 L Oak,16,Bilal
321,HPL 90T24 Vok Beech,4,Bilal
322,HPL 90T28 M Beech,17,Bilal
323,HPL 90T29 E Cherry,0,Bilal
324,HPL 90T31 HD Crossfire,0,Bilal
325,HPL 90T33 HL Crossfire,17,Bilal
326,HPL 90T36 Birch,15,Bilal
327,HPL 90T45 T Planks,28,Bilal
328,HPL 90T51 A Cherry,6,Bilal
329,HPL 90T55 Mahagony,13,Bilal
330,HPL 90T56 Noble Walnut,1,Bilal
331,HPL 90T60 Dallas G,8,Bilal
332,HPL 90T66 Yohan Wood,9,Bilal
333,HPL 90T71 Winter Oak,1,Bilal
334,HPL 90T72 Vienna Oak,11,Bilal
335,HPL 90T73 Milan Oak,15,Bilal
336,HPL 90T93 Supreme Maple,6,Bilal
337,HPL MK-1005 Silver Mirror,0,Bilal
338,HPL SK-8020 Aluminium,0,Bilal
