id,Nama Barang,Stok,Lokasi
1,BB KILAT 18MM 1X,0,BILAL
2,BB KILAT 18MM 2X,1,BILAL
3,BB POLOS 18MM,30,BILAL
4,PVC BOARD 3MM,20,BILAL
5,PVC BOARD 5MM,7,BILAL
6,PVC BOARD 8MM,22,BILAL
7,PVC BOARD 9MM,25,BILAL
8,PVC BOARD 12MM,5,BILAL
9,PVC BOARD 15MM,9,BILAL
10,PVC BOARD 18MM,19,BILAL
11,PVC BOARD 8MM GREY,10,BILAL
12,PVC BOARD 12MM GREY,3,BILAL
13,PVC BOARD 18MM SEVEN,0,BILAL
14,PVC BOARD 15MM SEVEN,10,BILAL
15,PVC BOARD 8MM SEVEN,0,BILAL
16,PVC BOARD 5MM SEVEN,10,BILAL
17,PVC BOARD 9MM SEVEN,0,BILAL
18,PVC BOARD 12MM SEVEN,10,BILAL
19,PVC BOARD 3MM SEVEN,0,BILAL
20,BB DOFF 18MM,0,GUDANG 888
21,BB KILAT 18MM 1X,164,GUDANG AA5
22,BB KILAT 18MM 2X,255,GUDANG AA5
23,POLY DOFF BANGAU 3MM,600,GUDANG AA5
24,POLY KILAT BANGAU 3MM,0,GUDANG AA5
25,POLY DOFF HARIMAU 3MM,350,GUDANG AA5
26,POLY KILAT HARIMAU 3MM,40,GUDANG AA5
27,POLY KILAT DIAMOND 3MM,1305,GUDANG AA5
28,POLY DOFF DIAMOND 3MM,0,GUDANG AA5
29,HMR DOFF 3MM,250,GUDANG AA5
30,PLY UT 3MM MERANTI,425,GUDANG AA5
31,"PLY UT 3,6MM KAYU ALAM",300,GUDANG AA5
32,PLY UT 8MM KAYU ALAM,120,GUDANG AA5
33,PLY UT 5MM KAYU ALAM,0,GUDANG AA5
34,PLY UT 12MM KAYU ALAM,0,GUDANG AA5
35,PVC BOARD 3MM,185,GUDANG AA5
36,PVC BOARD 5MM,49,GUDANG AA5
37,PVC BOARD 8MM,70,GUDANG AA5
38,PVC BOARD 9MM,44,GUDANG AA5
39,PVC BOARD 12MM,0,GUDANG AA5
40,PVC BOARD 15MM,0,GUDANG AA5
41,PVC BOARD 18MM,136,GUDANG AA5
42,BA 101 BRIGHT WHITE,34,BILAL
43,BA 502 SNOWY,2,BILAL
44,BA 323 BLACK QUART,3,BILAL
45,BA 7858,4,BILAL
46,BA 201 JADE SNOW,5,BILAL
47,BW 202 CAFÉ MOCHA,3,BILAL
48,BA 830 FROST,2,BILAL
49,BA 696 METALIC BLACK,8,BILAL
50,BA 933 PEMA WHITE,5,BILAL
51,BPW 701,5,BILAL
52,BSW 6060 CALACTA GRIGIO,2,BILAL
53,BA 2018 TROYA,6,BILAL
54,BA 2015 PINACLE,7,BILAL
55,GM 248 STRAW COMET,1,BILAL
56,GM 816 CRYSTAL PLANET,1,BILAL
57,G 510 BEIGE COMET,3,BILAL
58,KE 915 MYSTERY COMET,1,BILAL
59,G 209 WOOD GALAXY,1,BILAL
60,KE 910 SPRING GALAXY,2,BILAL
61,GM 868 CAFÉ COMET,1,BILAL
62,KE 2057 SWAN PLANET,2,BILAL
63,KE 015 IQ PLANET,1,BILAL
64,GM 1172 GREY QUARTZ,1,BILAL
65,HPL PUTIH KILAT,40,BILAL
66,HPL PUTIH DOFF,380,BILAL
67,HPL PUTIH MARMER,28,BILAL
68,HPL Hitam Kilat,0,BILAL
69,HPL Hitam Doff,0,BILAL
70,HPL Hitam Serat Jeruk,0,BILAL
71,PVC BOARD 18MM SEVEN,140,GUDANG AA5
72,PVC BOARD 15MM SEVEN,133,GUDANG AA5
73,PVC BOARD 8MM SEVEN,270,GUDANG AA5
74,PVC BOARD 5MM SEVEN,658,GUDANG AA5
75,PVC BOARD 9MM SEVEN,390,GUDANG AA5
76,PVC BOARD 12MM SEVEN,264,GUDANG AA5
77,PVC BOARD 3MM SEVEN,199,GUDANG AA5
78,Kerawangan 8400,0,Bilal
79,Kerawangan 8406,0,Bilal
80,Kerawangan 8425,0,Bilal
81,Kerawangan 8428,0,Bilal
81,MDF 3mm,0,Gudang AA5
