No,Nama Barang,BM,tgl,lokasi
1,Pvc Board 3mm,10,01-02-25,Bilal
2,Pvc Board 3mm,-10,01-02-25,Gudang AA5
3,Pvc Board 5mm,9,01-02-25,Bilal
4,Pvc Board 5mm,-9,01-02-25,Gudang AA5
5,Pvc Board 18mm,15,01-02-25,Bilal
6,Pvc Board 18mm,-15,01-02-25,Gudang AA5
7,Pvc Board 12mm Seven,10,01-02-25,Bilal
8,Pvc Board 12mm Seven,-10,01-02-25,Gudang AA5
9,Pvc Board 15mm Seven,5,01-02-25,Bilal
10,Pvc Board 15mm Seven,-5,01-02-25,Gudang AA5
11,Kerawangan 8400,162,01-02-25,Bilal
12,Kerawangan 8400,-162,01-02-25,Gudang AA5
13,Kerawangan 8406,162,01-02-25,Bilal
14,Kerawangan 8406,-162,01-02-25,Gudang AA5
15,Kerawangan 8425,108,01-02-25,Bilal
16,Kerawangan 8425,-108,01-02-25,Gudang AA5
17,Kerawangan 8428,108,01-02-25,Bilal
18,Kerawangan 8428,-108,01-02-25,Gudang AA5
19,BB Kilat 18mm 1x,850,01-02-25,Gudang AA5
20,BB Kilat 18mm 2x,100,01-02-25,Gudang AA5
22,Poly Kilat Bangau 3mm,1000,01-02-25,Gudang AA5
26,Poly Doff Diamond 3mm,200,01-02-25,Gudang AA5
28,MDF 3mm,300,01-02-25,Gudang AA5
31,Ply UT 5mm Kayu Alam,300,01-02-25,Gudang AA5
32,HPL Putih Kilat,350,01-02-25,Bilal
35,HPL Hitam Kilat,104,01-02-25,Bilal
36,HPL Hitam Doff,103,01-02-25,Bilal
37,HPL Hitam Serat Jeruk,59,01-02-25,Bilal
