No,Nama Barang,BM,tgl,lokasi
7,Pvc Board 9mm,25,12/1/2024,Bilal
7,Pvc Board 9mm,-25,12/1/2024,Gudang AA5
10,"Ply UT 3,6mm Kayu Alam",300,12/1/2024,Gudang AA5
11,Ply UT 8mm Kayu Alam,300,12/1/2024,Gudang AA5
12,Ply UT 12mm Kayu Alam,200,12/1/2024,Gudang AA5
