No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
1,17/01/25,Poly doff bangau 3mm,6400000,Lunas,Hari Indah
2,05/12/24,Pvc Board 8mm,6750000,Lunas,Cemara Jaya
3,05/12/24,Pvc Board 9mm,5020000,Lunas,Cemara Jaya
4,05/12/24,Pvc Board 12mm,6460000,Lunas,Cemara Jaya
5,05/12/24,Pvc Board 18mm,9220000,Lunas,Cemara Jaya
6,09/12/24,Ply UT 12mm Kayu Alam,22320000,Lunas,Cemara Jaya
7,13/12/24,BB kilat 18mm 1x,2850000,Lunas,Medan Jaya
8,24/12/24,BB kilat 18mm 1x,1425000,Lunas,Medan Jaya
9,24/12/24,BB kilat 18mm 2x,3590000,Lunas,Medan Jaya
10,27/12/24,Pvc Board 12mm,3230000,Lunas,Cemara Jaya
11,27/12/24,Pvc Board 18mm,13830000,Lunas,Cemara Jaya
12,27/12/24,Pvc Board 12mm,5491000,Lunas,Cemara Jaya
13,27/12/24,Pvc Board 8mm,5625000,Lunas,Cemara Jaya
14,27/12/24,Poly Kilat Diamond 3mm,22200000,Lunas,Cemara Jaya
15,26/11/24,Ply UT 5mm Kayu Alam,19200000,Lunas,Cemara Jaya
16,26/11/24,Pvc Board 3mm,1880000,Lunas,Cemara Jaya
17,26/11/24,Pvc Board 5mm,2145000,Lunas,Cemara Jaya
18,26/11/24,Pvc Board 9mm,2510000,Lunas,Cemara Jaya
19,30/11/24,Ply UT 5mm Kayu Alam,9600000,Lunas,Cemara Jaya
20,02/12/24,BB Doff 18mm,17600000,Lunas,Cemara Jaya
21,04/12/24,Hpl Putih Doff,4250000,Lunas,Cemara Jaya
22,04/12/24,Hpl Putih Kilat,3910000,Lunas,Cemara Jaya
23,11/01/25,BB kilat 18mm 1x,6975000,Lunas,Giat Profil
24,11/01/25,BB kilat 18mm 2x,5265000,Lunas,Giat Profil
25,17/12/24,Poly doff harimau 3mm,17700000,Lunas,Tetap Jaya
26,20/12/24,Pvc Board 8mm,11250000,Lunas,Cemara Jaya
27,23/12/24,Pvc Board 5mm,2860000,Lunas,Cemara Jaya
28,23/12/24,Pvc Board 8mm,4500000,Lunas,Cemara Jaya
29,23/12/24,Pvc Board 12mm,6460000,Lunas,Cemara Jaya
30,18/01/25,BB kilat 18mm 1x,13950000,Lunas,Giat Profil
31,23/01/25,BB kilat 18mm 1x,8370000,Lunas,Giat Profil
