No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
32,20-01-25,HPL PUTIH KILAT,1800000,BELUM LUNAS,ANEKA REZEKI
59,04-02-25,PVC BOARD 5MM SEVEN,7150000,BELUM LUNAS,ANEKA REZEKI
60,04-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,ANEKA REZEKI
61,04-02-25,PVC BOARD 12MM SEVEN,16150000,BELUM LUNAS,ANEKA REZEKI
66,14-02-25,PVC BOARD 5MM SEVEN,7150000,BELUM LUNAS,ANEKA REZEKI
67,14-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,ANEKA REZEKI
68,14-02-25,PVC BOARD 18MM,23050000,BELUM LUNAS,ANEKA REZEKI
44,21-01-25,BB KILAT 18MM 1X,8400000,BELUM LUNAS,BINTANG TERANG
23,28-12-24,PLY UT 8MM KAYU ALAM,4680000,BELUM LUNAS,CEMARA JAYA
24,28-12-24,PLY UT 12MM KAYU ALAM,14880000,BELUM LUNAS,CEMARA JAYA
29,17-01-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
30,20-01-25,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
31,20-01-25,HPL PUTIH KILAT,4250000,BELUM LUNAS,CEMARA JAYA
34,24-01-25,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
38,13-01-25,PLY UT 8MM KAYU ALAM,16380000,BELUM LUNAS,CEMARA JAYA
41,15-01-25,PVC BOARD 8MM,11250000,BELUM LUNAS,CEMARA JAYA
46,06-02-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
48,10-02-25,HPL PUTIH KILAT,2550000,BELUM LUNAS,CEMARA JAYA
49,10-02-25,HPL PUTIH DOFF,4080000,BELUM LUNAS,CEMARA JAYA
50,21-02-25,HPL PUTIH KILAT,1700000,BELUM LUNAS,CEMARA JAYA
51,21-02-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
52,21-02-25,HPL HITAM DOFF,2850000,BELUM LUNAS,CEMARA JAYA
53,21-02-25,HPL HITAM KILAT,2850000,BELUM LUNAS,CEMARA JAYA
54,21-02-25,HPL HITAM SERAT JERUK,2850000,BELUM LUNAS,CEMARA JAYA
57,03-02-25,PVC BOARD 8MM,15750000,BELUM LUNAS,CEMARA JAYA
65,13-02-25,"PLY UT 3,6MM KAYU ALAM",21900000,BELUM LUNAS,CEMARA JAYA
70,17-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,CEMARA JAYA
77,27-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,CEMARA JAYA
71,18-02-25,MDF 3MM,12900000,BELUM LUNAS,CENGKEH
62,11-02-25,BB KILAT 18MM 1X,2790000,BELUM LUNAS,GIAT PROFIL
63,11-02-25,BB KILAT 18MM 2X,5265000,BELUM LUNAS,GIAT PROFIL
72,18-02-25,BB KILAT 18MM 1X,8370000,BELUM LUNAS,GIAT PROFIL
74,21-02-25,POLY DOFF BANGAU 3MM,6400000,BELUM LUNAS,HARI INDAH 
47,07-02-25,HPL PUTIH KILAT,400000,BELUM LUNAS,KO AHOK
39,14-01-25,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
40,14-01-25,BB KILAT 18MM 2X,3590000,BELUM LUNAS,MEDAN JAYA
64,12-02-25,BB KILAT 18MM 2X,3590000,BELUM LUNAS,MEDAN JAYA
75,24-02-25,BB KILAT 18MM 1X,2280000,BELUM LUNAS,MEDAN JAYA
76,24-02-25,BB KILAT 18MM 2X,2154000,BELUM LUNAS,MEDAN JAYA
55,27-02-25,PVC BOARD 9MM,1140000,BELUM LUNAS,MEGAH JAYA BOGOR
56,27-02-25,PVC BOARD 15MM SEVEN,2700000,BELUM LUNAS,MEGAH JAYA BOGOR
69,15-02-25,POLY KILAT BANGAU 3MM,12700000,BELUM LUNAS,MINDO JAYA
33,21-01-25,PVC BOARD 5MM,2550000,BELUM LUNAS,SUMARSONO ONGKO
35,09-01-25,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
58,03-02-25,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
73,20-02-25,POLY DOFF HARIMAU 3MM,23600000,BELUM LUNAS,TETAP JAYA
