No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
2,10-11-24,HMR DOFF 3MM,6250000,LUNAS,BINTANG TERANG
4,30/9/2024,POLY DOFF DIAMOND 3MM,26660000,LUNAS,TETAP JAYA
8,30/8/2024,Ply UT 3mm Meranti,13000000,LUNAS,CEMARA JAYA
9,09-04-24,PVC BOARD 15MM,2200000,LUNAS,CEMARA JAYA
10,09-04-24,PVC BOARD 8MM,12000000,LUNAS,CEMARA JAYA
11,19/9/2024,PLY UT 12MM KAYU ALAM,21840000,LUNAS,CEMARA JAYA
12,26/9/2024,PVC BOARD 8MM,12000000,LUNAS,CEMARA JAYA
21,10-12-24,BB KILAT 18MM 1X,13950000,LUNAS,GIAT PROFIL
22,10-12-24,BB KILAT 18MM 2X,17550000,LUNAS,GIAT PROFIL
23,15/10/2024,BB KILAT 18MM 1X,2790000,LUNAS,GIAT PROFIL
24,15/10/2024,BB KILAT 18MM 2X,3510000,LUNAS,GIAT PROFIL
25,14/10/2024,BB KILAT 18MM 1X,7000000,LUNAS,MEDAN ABADI
26,14/10/2024,BB KILAT 18MM 2X,17600000,LUNAS,MEDAN ABADI
27,16/10/2024,PVC BOARD 5MM,1700000,LUNAS,SUMARSONO ONGKO
30,10-04-24,PVC BOARD 5MM,10200000,LUNAS,ANEKA REJEKI
31,10-04-24,PVC BOARD 15MM,9000000,LUNAS,ANEKA REJEKI
36,10-04-24,PVC BOARD 5MM,895000,LUNAS,USAHA BARU
