id,Nama Barang,Harga
167,HPL G5-3591-R Macchiato Bruno,850000
168,HPL G5-3701-R Into The Wild,850000
169,HPL G5-3703-R Artisan Plank,850000
170,HPL G5-3704-R Motley Olio,850000
171,HPL G5-3705-R Motley Medley,850000
172,HPL G5-4030-PG Pearl Lavish,850000
173,HPL G5-4220-R Balmy Nogal,850000
174,HPL G5-4230-R Balmy Noce,850000
175,HPL G5-482 Pozzolan Nexta,850000
176,HPL G5-4899-R Ibiza Walnut,850000
177,HPL G5-4955-R Winter Maple,850000
178,HPL G5-5010-PG Heartwood Apple,850000
179,HPL G5-5017-PG Santos Lazura,850000
180,HPL G5-5018-PG Santos Bona,850000
181,HPL G5-5019-PG Santos Dante,850000
182,HPL G5-5020-PG Casa Emerald,850000
183,HPL G5-5021-PG Casa Escano,850000
184,HPL G5-5094-PG Normin Chestnut,850000
185,HPL G5-5095-PG Ricko Chestnut,850000
186,HPL G5-5096-PG Summered Chestnut,850000
187,HPL G5-51-P Kenya,850000
188,HPL G5-6170-R Labrador,850000
189,HPL G5-619-PG Silver Charm,850000
190,HPL G5-65-P Sharkee Moka,850000
191,HPL G5-718 Wimbly,850000
192,HPL G5-9320-P X Dimension,850000
193,HPL G6-3299 Cliff Brownique,750000
194,HPL G6-6130-R Scaland Lake,750000
195,HPL G7-168 Pinnacle,1070000
196,HPL G7-N02 Lantscap BW,1070000
197,HPL G7-N04 Lantscap BK,1070000
198,HPL G8-810 Pixel Snow,1070000
199,HPL G8-820 Pixel Royale,1070000
200,HPL G8-830 Pixel Knight,1070000
201,HPL G9-244 Silver Steamline,950000
202,HPL M5-7020-P Gold Alum Brush,1800000
203,HPL R1-107-G White,745000
204,HPL R1-127-G Ivory Gloss,745000
205,HPL R1-809-G Grey ,745000
206,HPL R1-90-G Black,745000
207,HPL 21T15 P Oak,360000
208,HPL 32R69 Kariba Wood,550000
209,HPL 29R26 Blake Wood,500000
210,HPL 32R94 Velv Wood,550000
211,HPL 23G13 B Orange G,360000
212,HPL 23T11 T Green,360000
213,HPL 23T33 Turquoise,360000
214,HPL 23T44 A Sapelli,360000
215,HPL 23T68 K Ply,360000
216,HPL 29T28 Odyssey,500000
217,HPL 29TM61 BK Ebony,500000
218,HPL 60M05 Cream M,260000
219,HPL MK-1006 Gold Mirror,2300000
220,HPL 20G01 White G,230000
221,HPL 20M01 White M,230000
222,HPL 20T01 N White,230000
223,HPL 21T12 G Oak,360000
224,HPL 21T17 G Maple,360000
225,HPL 21T18 V Elm,360000
226,HPL 21T38 A Maple,360000
227,HPL 21T47 Nw Ash,360000
228,HPL 21T51 W Oak,360000
229,HPL 22G02 Ivory G,360000
230,HPL 22G10 Red G,360000
231,HPL 23B57 Valentine I,360000
232,HPL 23B58 Valentine II,360000
233,HPL 23B59 Valentine III,360000
234,HPL 23E53 Alpine Walnut,360000
235,HPL 23E67 Congo Teak,360000
236,HPL 23N39 TW Wood,360000
237,HPL 23T09 Funky Pink,360000
238,HPL 23T21 Natural Teak,360000
239,HPL 23T24 Lombok,360000
240,HPL 23T25 De Parquet,360000
241,HPL 23T28 N Stripwood,360000
242,HPL 23T29 H Walnut YK,360000
243,HPL 23T34 NB Yellow,360000
244,HPL 23T59 Eternal Walnut,360000
245,HPL 23T63 Scada Wood,360000
246,HPL 23T76 Flora W,360000
247,HPL 23T82 Dominic GB,360000
248,HPL 23T83 Dominic BP,360000
249,HPL 23U26 RV Parquet,360000
250,HPL 23U27 SV Parquet,360000
251,HPL 23U37 Trinity Wood L,360000
252,HPL 23U38 Trinity Wood D,360000
253,HPL 23U43 Golden Teak,360000
254,HPL 23U51 Matrix Wood I,360000
255,HPL 23V11 Silkwood D,360000
256,HPL 23V12 Silkwood L,360000
257,HPL 23V21 M Bark,360000
258,HPL 23V22 Valwood YK,360000
259,HPL 23V23 D Oak YK,360000
260,HPL 23V61 De Sawcut D,360000
261,HPL 23V62 De Sawcut L,360000
262,HPL 23V95 Chamois EL,360000
263,HPL 29F01 Duchess W,500000
264,HPL 29F10 Duchess FR,500000
265,HPL 29F35 Duchess J,500000
266,HPL 29F82 Duchess G,500000
267,HPL 29F90 Duchess B,500000
268,HPL 29G34 NB Yellow G,500000
269,HPL 29S62 Tuxedo 3,500000
270,HPL 29S64 Tuxedo 2,500000
271,HPL 29S65 Tuxedo 1,500000
272,HPL 29T37 LW Bamboo,500000
273,HPL 29T68 Fabrika D,500000
274,HPL 29TM57 WD Bamboo,500000
275,HPL 29TW93 ML Danzwood,500000
276,HPL 32E01 W Rustico,550000
277,HPL 38L02 Ivory Leather,600000
278,HPL 38L14 Brown Leather,600000
279,HPL 38L84 Maroon Leather,600000
280,HPL 38L90 Black Leather,600000
281,HPL 60M04 Vanilla M,260000
282,HPL 60M10 Red M,260000
