No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
56,05-12-24,PVC BOARD 5MM,7150000,BELUM LUNAS,ANEKA REZEKI
57,05-12-24,PVC BOARD 18MM,23050000,BELUM LUNAS,ANEKA REZEKI
18,04-11-24,PVC BOARD 5MM,4380000,BELUM LUNAS,CEMARA JAYA
19,04-11-24,PVC BOARD 12MM,9810000,BELUM LUNAS,CEMARA JAYA
20,05-11-24,PVC BOARD 5MM,2920000,BELUM LUNAS,CEMARA JAYA
21,05-11-24,PVC BOARD 8MM,4600000,BELUM LUNAS,CEMARA JAYA
22,05-11-24,PVC BOARD 12MM,6540000,BELUM LUNAS,CEMARA JAYA
23,05-11-24,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
24,07-11-24,PVC BOARD 15MM,5698000,BELUM LUNAS,CEMARA JAYA
25,07-11-24,PVC BOARD 12MM,4578000,BELUM LUNAS,CEMARA JAYA
26,07-11-24,PVC BOARD 8MM,2300000,BELUM LUNAS,CEMARA JAYA
27,07-11-24,PVC BOARD 5MM,1460000,BELUM LUNAS,CEMARA JAYA
28,08-11-24,PVC BOARD 8MM,690000,BELUM LUNAS,CEMARA JAYA
29,09-11-24,PVC BOARD 8MM,11500000,BELUM LUNAS,CEMARA JAYA
32,18-11-24,PVC BOARD 8MM,3450000,BELUM LUNAS,CEMARA JAYA
33,18-11-24,PVC BOARD 12MM,4905000,BELUM LUNAS,CEMARA JAYA
34,18-11-24,PVC BOARD 15MM,5291000,BELUM LUNAS,CEMARA JAYA
35,18-11-24,PVC BOARD 8MM,8050000,BELUM LUNAS,CEMARA JAYA
40,23-11-24,PVC BOARD 12MM,4845000,BELUM LUNAS,CEMARA JAYA
41,23-11-24,PVC BOARD 15MM,2025000,BELUM LUNAS,CEMARA JAYA
42,23-11-24,PVC BOARD 15MM,2025000,BELUM LUNAS,CEMARA JAYA
45,26-11-24,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
46,26-11-24,PVC BOARD 3MM,1880000,BELUM LUNAS,CEMARA JAYA
47,26-11-24,PVC BOARD 5MM,2145000,BELUM LUNAS,CEMARA JAYA
48,26-11-24,PVC BOARD 9MM,2510000,BELUM LUNAS,CEMARA JAYA
49,30-11-24,PLY UT 5MM KAYU ALAM,9600000,BELUM LUNAS,CEMARA JAYA
50,04-12-24,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
51,04-12-24,HPL PUTIH KILAT,3910000,BELUM LUNAS,CEMARA JAYA
52,27-12-24,PVC BOARD 12MM,3230000,BELUM LUNAS,CEMARA JAYA
53,02-12-24,BB DOFF 18MM,17600000,BELUM LUNAS,CEMARA JAYA
58,05-12-24,PVC BOARD 8MM,6750000,BELUM LUNAS,CEMARA JAYA
59,05-12-24,PVC BOARD 9MM,5020000,BELUM LUNAS,CEMARA JAYA
60,05-12-24,PVC BOARD 12MM,6460000,BELUM LUNAS,CEMARA JAYA
61,05-12-24,PVC BOARD 18MM,9220000,BELUM LUNAS,CEMARA JAYA
62,09-12-24,PLY UT 12MM KAYU ALAM,22320000,BELUM LUNAS,CEMARA JAYA
67,20-12-24,PVC BOARD 8MM,11250000,BELUM LUNAS,CEMARA JAYA
68,23-12-24,PVC BOARD 5MM,2860000,BELUM LUNAS,CEMARA JAYA
69,23-12-24,PVC BOARD 8MM,4500000,BELUM LUNAS,CEMARA JAYA
70,23-12-24,PVC BOARD 12MM,6460000,BELUM LUNAS,CEMARA JAYA
73,27-12-24,PVC BOARD 18MM,13830000,BELUM LUNAS,CEMARA JAYA
74,27-12-24,PVC BOARD 12MM,5491000,BELUM LUNAS,CEMARA JAYA
75,27-12-24,PVC BOARD 8MM,5625000,BELUM LUNAS,CEMARA JAYA
76,27-12-24,POLY KILAT DIAMOND 3MM,22200000,BELUM LUNAS,CEMARA JAYA
77,28-12-24,PLY UT 8MM KAYU ALAM,4680000,BELUM LUNAS,CEMARA JAYA
78,28-12-24,PLY UT 12MM KAYU ALAM,14880000,BELUM LUNAS,CEMARA JAYA
54,02-12-24,BB KILAT 18MM 2X,7020000,BELUM LUNAS,GIAT PROFIL
63,12-12-24,BB KILAT 18MM 1X,8370000,BELUM LUNAS,GIAT PROFIL
66,20-12-24,POLY DOFF BANGAU 3MM,6400000,BELUM LUNAS,HARI INDAH
38,21-11-24,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
39,21-11-24,BB KILAT 18MM 2X,5728000,BELUM LUNAS,MEDAN JAYA
64,13-12-24,BB KILAT 18MM 1X,2850000,BELUM LUNAS,MEDAN JAYA
71,24-12-24,BB KILAT 18MM 1X,1425000,BELUM LUNAS,MEDAN JAYA
72,24-12-24,BB KILAT 18MM 2X,3590000,BELUM LUNAS,MEDAN JAYA
30,12-11-24,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
55,04-12-24,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
65,17-12-24,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
