id,Nama Barang,Stok,Lokasi
1,BB KILAT 18MM 1X,0,BILAL
2,BB KILAT 18MM 2X,1,BILAL
3,BB POLOS 18MM ,30,BILAL
4,PVC BOARD 3MM,14,BILAL
5,PVC BOARD 5MM,12,BILAL
6,PVC BOARD 8MM,26,BILAL
7,PVC BOARD 9MM,25,BILAL
8,PVC BOARD 12MM,5,BILAL
9,PVC BOARD 15MM,9,BILAL
10,PVC BOARD 18MM,14,BILAL
11,PVC BOARD 8MM GREY ,10,BILAL
12,PVC BOARD 12MM GREY,4,BILAL
13,PVC BOARD 18MM SEVEN,0,BILAL
14,PVC BOARD 15MM SEVEN,0,BILAL
15,PVC BOARD 8MM SEVEN,0,BILAL
16,PVC BOARD 5MM SEVEN,0,BILAL
17,PVC BOARD 9MM SEVEN,0,BILAL
18,PVC BOARD 12MM SEVEN,0,BILAL
19,PVC BOARD 3MM SEVEN,0,BILAL
13,BB DOFF 18MM,0,GUDANG 888
14,BB KILAT 18MM 1X,613,GUDANG AA5
15,BB KILAT 18MM 2X,280,GUDANG AA5
16,POLY DOFF BANGAU 3MM,650,GUDANG AA5
17,POLY KILAT BANGAU 3MM,0,GUDANG AA5
18,POLY DOFF HARIMAU 3MM,500,GUDANG AA5
19,POLY KILAT HARIMAU 3MM,40,GUDANG AA5
20,POLY KILAT DIAMOND 3MM,1305,GUDANG AA5
21,POLY DOFF DIAMOND 3MM,0,GUDANG AA5
22,HMR DOFF 3MM,250,GUDANG AA5
23,PLY UT 3MM MERANTI,425,GUDANG AA5
24,"PLY UT 3,6MM KAYU ALAM",300,GUDANG AA5
25,PLY UT 8MM KAYU ALAM,260,GUDANG AA5
26,PLY UT 5MM KAYU ALAM,0,GUDANG AA5
27,PLY UT 12MM KAYU ALAM,0,GUDANG AA5
28,PVC BOARD 3MM,195,GUDANG AA5
29,PVC BOARD 5MM,59,GUDANG AA5
30,PVC BOARD 8MM,120,GUDANG AA5
31,PVC BOARD 9MM,54,GUDANG AA5
32,PVC BOARD 12MM,0,GUDANG AA5
33,PVC BOARD 15MM,0,GUDANG AA5
34,PVC BOARD 18MM,142,GUDANG AA5
35,BA 101 BRIGHT WHITE,34,BILAL
36,BA 502 SNOWY,2,BILAL
37,BA 323 BLACK QUART,3,BILAL
38,BA 7858,4,BILAL
39,BA 201 JADE SNOW,5,BILAL
40,BW 202 CAFÉ MOCHA,3,BILAL
41,BA 830 FROST,2,BILAL
42,BA 696 METALIC BLACK ,8,BILAL
43,BA 933 PEMA WHITE,5,BILAL
44,BPW 701,5,BILAL
45,BSW 6060 CALACTA GRIGIO,2,BILAL
46,BA 2018 TROYA,6,BILAL
47,BA 2015 PINACLE,7,BILAL
48,GM 248 STRAW COMET,1,BILAL
49,GM 816 CRYSTAL PLANET,1,BILAL
50,G 510 BEIGE COMET,3,BILAL
51,KE 915 MYSTERY COMET,1,BILAL
52,G 209 WOOD GALAXY,1,BILAL
53,KE 910 SPRING GALAXY,2,BILAL
54,GM 868 CAFÉ COMET,1,BILAL
55,KE 2057 SWAN PLANET,2,BILAL
56,KE 015 IQ PLANET,1,BILAL
57,GM 1172 GREY QUARTZ,1,BILAL
58,HPL PUTIH KILAT,0,BILAL
59,HPL PUTIH DOFF,0,BILAL
60,HPL PUTIH MARMER,28,BILAL
61,KERAWANGAN ANT 10,-34,BILAL
62,KERAWANGAN ANT  10,0,BILAL
63,KERAWANGAN ANT  5,0,BILAL
64,PVC BOARD 18MM SEVEN,0,GUDANG AA5
66,PVC BOARD 15MM SEVEN,0,GUDANG AA5
67,PVC BOARD 8MM SEVEN,0,GUDANG AA5
68,PVC BOARD 5MM SEVEN,0,GUDANG AA5
69,PVC BOARD 9MM SEVEN,0,GUDANG AA5
70,PVC BOARD 12MM SEVEN,0,GUDANG AA5
70,PVC BOARD 3MM SEVEN,0,GUDANG AA5
