No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
18,10-02-25,HPL PUTIH KILAT,2550000,BELUM LUNAS,CEMARA JAYA
19,10-02-25,HPL PUTIH DOFF,4080000,BELUM LUNAS,CEMARA JAYA
20,21-02-25,HPL PUTIH KILAT,1700000,BELUM LUNAS,CEMARA JAYA
21,21-02-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
22,21-02-25,HPL HITAM DOFF,2850000,BELUM LUNAS,CEMARA JAYA
23,21-02-25,HPL HITAM KILAT,2850000,BELUM LUNAS,CEMARA JAYA
24,21-02-25,HPL HITAM SERAT JERUK,2850000,BELUM LUNAS,CEMARA JAYA
25,03-02-25,PVC BOARD 8MM,15750000,BELUM LUNAS,CEMARA JAYA
26,13-02-25,"PLY UT 3,6MM KAYU ALAM",21900000,BELUM LUNAS,CEMARA JAYA
27,17-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,CEMARA JAYA
28,27-02-25,PVC BOARD 8MM SEVEN,11250000,BELUM LUNAS,CEMARA JAYA
32,18-02-25,BB KILAT 18MM 1X,8370000,BELUM LUNAS,GIAT PROFIL
38,24-02-25,BB KILAT 18MM 1X,2280000,BELUM LUNAS,MEDAN JAYA
39,24-02-25,BB KILAT 18MM 2X,2154000,BELUM LUNAS,MEDAN JAYA
40,27-02-25,PVC BOARD 9MM,1140000,BELUM LUNAS,MEGAH JAYA BOGOR
41,27-02-25,PVC BOARD 15MM SEVEN,2700000,BELUM LUNAS,MEGAH JAYA BOGOR
45,03-02-25,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
46,20-02-25,POLY DOFF HARIMAU 3MM,23600000,BELUM LUNAS,TETAP JAYA
47,03-03-25,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
48,03-03-25,POLY DOFF BANGAU 3MM,6250000,BELUM LUNAS,BINTANG TERANG
49,04-03-25,BB KILAT 18MM 1X,2850000,BELUM LUNAS,MEDAN JAYA
50,04-03-25,BB KILAT 18MM 2X,1795000,BELUM LUNAS,MEDAN JAYA
51,05-03-25,PVC BOARD 8MM SEVEN,3345000,BELUM LUNAS,CEMARA JAYA
52,05-03-25,PVC BOARD 12MM SEVEN,9630000,BELUM LUNAS,CEMARA JAYA
53,05-03-25,PVC BOARD 18MM,9160000,BELUM LUNAS,CEMARA JAYA
54,06-03-25,HMR DOFF 3MM,3750000,BELUM LUNAS,BINTANG TERANG
55,06-03-25,PLY UT 5MM KAYU ALAM,9600000,BELUM LUNAS,CEMARA JAYA
56,07-03-25,BB KILAT 18MM 1X,11160000,BELUM LUNAS,GIAT PROFIL
57,07-03-25,BB KILAT 18MM 2X,7020000,BELUM LUNAS,GIAT PROFIL
58,11-03-25,BB KILAT 18MM 1X,16739986,BELUM LUNAS,GIAT PROFIL
59,11-03-25,POLY DOFF BANGAU 3MM,6400000,BELUM LUNAS,HARI INDAH
60,12-03-25,BB KILAT 18MM 1X,1710000,BELUM LUNAS,MEDAN JAYA
61,12-03-25,BB KILAT 18MM 2X,1436000,BELUM LUNAS,MEDAN JAYA
62,12-03-25,POLY DOFF DIAMOND 3MM,23600000,BELUM LUNAS,TETAP JAYA
63,14-03-25,BB KILAT 18MM 1X,4480000,BELUM LUNAS,BINTANG TERANG
64,14-03-25,PVC BOARD 12MM SEVEN,16150000,BELUM LUNAS,ANEKA REZEKI
65,14-03-25,PVC BOARD 18MM SEVEN,23050000,BELUM LUNAS,ANEKA REZEKI
66,15-03-25,PVC BOARD 8MM SEVEN,2453000,BELUM LUNAS,CEMARA JAYA
67,27-03-25,POLY DOFF BANGAU 3MM,6400000,BELUM LUNAS,HARI INDAH
68,04-03-25,HPL HITAM DOFF,5700000,BELUM LUNAS,CEMARA JAYA
69,06-03-25,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
70,12-03-25,HPL HITAM KILAT,2850000,BELUM LUNAS,CEMARA JAYA
71,12-03-25,HPL PUTIH KILAT,4250000,BELUM LUNAS,CEMARA JAYA
72,15-03-25,PVC BOARD 8MM,4460000,BELUM LUNAS,CEMARA JAYA
73,21-03-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
74,26-03-25,HPL PUTIH MARMER,1450000,BELUM LUNAS,CEMARA JAYA
