No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
2,30-10-24,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
3,31-10-24,PVC BOARD 18MM,10200000,BELUM LUNAS,TETAP JAYA
75,12-10-24,HMR DOFF 3MM,25400000,BELUM LUNAS,CEMARA JAYA
4,15-10-24,PLY UT 3MM MERANTI,16046000,BELUM LUNAS,CEMARA JAYA
5,17-10-24,PVC BOARD 18MM,12272000,BELUM LUNAS,CEMARA JAYA
78,22-10-24,PVC BOARD 5MM,5840000,BELUM LUNAS,CEMARA JAYA
79,22-10-24,PVC BOARD 12MM,9825000,BELUM LUNAS,CEMARA JAYA
80,31-10-24,PVC BOARD 18MM,23350000,BELUM LUNAS,CEMARA JAYA
183,20-11-24,BB KILAT 18MM 2X,5265000,BELUM LUNAS,GIAT PROFIL
28,23-11-24,BB KILAT 18MM 1X,2790000,BELUM LUNAS,GIAT PROFIL
29,23-11-24,BB KILAT 18MM 2X,3510000,BELUM LUNAS,GIAT PROFIL
21,20-11-24,PVC BOARD 12MM,380000,BELUM LUNAS,USAHA BARU
16,16-11-24,POLY KILAT BANGAU 3MM,12700000,BELUM LUNAS,MINDO JAYA
10,23-10-24,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
11,23-10-24,BB KILAT 18MM 2X,3580000,BELUM LUNAS,MEDAN JAYA
13,04-09-24,PVC BOARD 8MM,7740000,BELUM LUNAS,ASIONG
14,23-10-24,PVC BOARD 18MM,22500000,BELUM LUNAS,ANEKA REJEKI
15,24-10-24,PVC BOARD 5MM,370000,BELUM LUNAS,MEGAH JAYA BOGOR
16,24-10-24,PVC BOARD 9MM,300000,BELUM LUNAS,MEGAH JAYA BOGOR
17,24-10-24,PVC BOARD 18MM,2800000,BELUM LUNAS,MEGAH JAYA BOGOR
1,15-10-24,BB KILAT 18MM 1X,2800000,BELUM LUNAS,BINTANG TERANG
12,28-10-24,PVC BOARD 5MM,2550000,BELUM LUNAS,SUMARSONO ONGKO
