No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
22,26-11-24,PLY UT 5MM KAYU ALAM,19200000,BELUM LUNAS,CEMARA JAYA
23,26-11-24,PVC BOARD 3MM,1880000,BELUM LUNAS,CEMARA JAYA
24,26-11-24,PVC BOARD 5MM,2145000,BELUM LUNAS,CEMARA JAYA
25,26-11-24,PVC BOARD 9MM,2510000,BELUM LUNAS,CEMARA JAYA
26,30-11-24,PLY UT 5MM KAYU ALAM,9600000,BELUM LUNAS,CEMARA JAYA
27,04-12-24,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
28,04-12-24,HPL PUTIH KILAT,3910000,BELUM LUNAS,CEMARA JAYA
29,27-12-24,PVC BOARD 12MM,3230000,BELUM LUNAS,CEMARA JAYA
30,02-12-24,BB DOFF 18MM,17600000,BELUM LUNAS,CEMARA JAYA
31,05-12-24,PVC BOARD 8MM,6750000,BELUM LUNAS,CEMARA JAYA
32,05-12-24,PVC BOARD 9MM,5020000,BELUM LUNAS,CEMARA JAYA
33,05-12-24,PVC BOARD 12MM,6460000,BELUM LUNAS,CEMARA JAYA
34,05-12-24,PVC BOARD 18MM,9220000,BELUM LUNAS,CEMARA JAYA
35,09-12-24,PLY UT 12MM KAYU ALAM,22320000,BELUM LUNAS,CEMARA JAYA
36,20-12-24,PVC BOARD 8MM,11250000,BELUM LUNAS,CEMARA JAYA
37,23-12-24,PVC BOARD 5MM,2860000,BELUM LUNAS,CEMARA JAYA
38,23-12-24,PVC BOARD 8MM,4500000,BELUM LUNAS,CEMARA JAYA
39,23-12-24,PVC BOARD 12MM,6460000,BELUM LUNAS,CEMARA JAYA
40,27-12-24,PVC BOARD 18MM,13830000,BELUM LUNAS,CEMARA JAYA
41,27-12-24,PVC BOARD 12MM,5491000,BELUM LUNAS,CEMARA JAYA
42,27-12-24,PVC BOARD 8MM,5625000,BELUM LUNAS,CEMARA JAYA
43,27-12-24,POLY KILAT DIAMOND 3MM,22200000,BELUM LUNAS,CEMARA JAYA
44,28-12-24,PLY UT 8MM KAYU ALAM,4680000,BELUM LUNAS,CEMARA JAYA
45,28-12-24,PLY UT 12MM KAYU ALAM,14880000,BELUM LUNAS,CEMARA JAYA
51,13-12-24,BB KILAT 18MM 1X,2850000,BELUM LUNAS,MEDAN JAYA
52,24-12-24,BB KILAT 18MM 1X,1425000,BELUM LUNAS,MEDAN JAYA
53,24-12-24,BB KILAT 18MM 2X,3590000,BELUM LUNAS,MEDAN JAYA
56,17-12-24,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
57,17-01-25,HPL PUTIH DOFF,2550000,BELUM LUNAS,CEMARA JAYA
58,20-01-25,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
59,20-01-25,HPL PUTIH KILAT,4250000,BELUM LUNAS,CEMARA JAYA
60,20-01-25,HPL PUTIH KILAT,1800000,BELUM LUNAS,ANEKA REZEKI
61,21-01-25,PVC BOARD 5MM,2550000,BELUM LUNAS,SUMARSONO ONGKO
62,24-01-25,HPL PUTIH DOFF,4250000,BELUM LUNAS,CEMARA JAYA
63,09-01-25,POLY DOFF HARIMAU 3MM,17700000,BELUM LUNAS,TETAP JAYA
64,11-01-25,BB KILAT 18MM 1X,6975000,BELUM LUNAS,GIAT PROFIL
65,11-01-25,BB KILAT 18MM 2X,5265000,BELUM LUNAS,GIAT PROFIL
66,13-01-25,PLY UT 8MM KAYU ALAM,16380000,BELUM LUNAS,CEMARA JAYA
67,14-01-25,BB KILAT 18MM 1X,1140000,BELUM LUNAS,MEDAN JAYA
68,14-01-25,BB KILAT 18MM 2X,3590000,BELUM LUNAS,MEDAN JAYA
69,15-01-25,PVC BOARD 8MM,11250000,BELUM LUNAS,CEMARA JAYA
70,17-01-25,POLY DOFF BANGAU 3MM,6400000,BELUM LUNAS,HARI INDAH
71,18-01-25,BB KILAT 18MM 1X,13950000,BELUM LUNAS,GIAT PROFIL
72,21-01-25,BB KILAT 18MM 1X,8400000,BELUM LUNAS,BINTANG TERANG
73,23-01-25,BB KILAT 18MM 1X,8370000,BELUM LUNAS,GIAT PROFIL
