No,TANGGAL,JENIS,TOTAL NILAI,KETERANGAN,Customer
9,28-12-24,PLY UT 8MM KAYU ALAM,4680000,Lunas,CEMARA JAYA
10,28-12-24,PLY UT 12MM KAYU ALAM,14880000,Lunas,CEMARA JAYA
1,20-01-25,HPL PUTIH KILAT,1800000,Lunas,ANEKA REZEKI
8,21-01-25,BB KILAT 18MM 1X,8400000,Lunas,BINTANG TERANG
8,04-02-25,Pvc Board 5mm Seven,7150000,Lunas,ANEKA REZEKI
8,04-02-25,Pvc Board 8mm Seven,11250000,Lunas,ANEKA REZEKI
8,04-02-25,Pvc Board 12mm Seven,16150000,Lunas,ANEKA REZEKI
8,14-02-25,Pvc Board 5mm Seven,7150000,Lunas,ANEKA REZEKI
8,14-02-25,Pvc Board 8mm Seven,11250000,Lunas,ANEKA REZEKI
8,14-02-25,Pvc Board 18mm,23050000,Lunas,ANEKA REZEKI
11,17-01-25,HPL PUTIH DOFF,2550000,Lunas,CEMARA JAYA
12,20-01-25,HPL PUTIH DOFF,4250000,Lunas,CEMARA JAYA
13,20-01-25,HPL PUTIH KILAT,4250000,Lunas,CEMARA JAYA
14,24-01-25,HPL PUTIH DOFF,4250000,Lunas,CEMARA JAYA
17,06-02-25,HPL PUTIH DOFF,2550000,Lunas,CEMARA JAYA
18,13-01-25,Ply UT 8mm Kayu Alam,16380000,Lunas,CEMARA JAYA
19,15-01-25,Pvc Board 8mm,11250000,Lunas,CEMARA JAYA
29,18-02-25,MDF 3MM,12900000,Lunas,CENGKEH
30,11-02-25,BB KILAT 18MM 1X,2790000,Lunas,GIAT PROFIL
31,11-02-25,BB KILAT 18MM 2X,5265000,Lunas,GIAT PROFIL
33,21-02-25,POLY DOFF BANGAU 3MM,6400000,Lunas,HARI INDAH 
34,07-02-25,HPL PUTIH KILAT,400000,Lunas,KO AHOK
35,14-01-25,BB KILAT 18MM 1X,1140000,Lunas,MEDAN JAYA
36,14-01-25,BB KILAT 18MM 2X,3590000,Lunas,MEDAN JAYA
37,12-02-25,BB KILAT 18MM 2X,3590000,Lunas,MEDAN JAYA
42,15-02-25,POLY KILAT BANGAU 3MM,12700000,Lunas,MINDO JAYA
43,21-01-25,PVC BOARD 5MM,2550000,Lunas,SUMARSONO ONGKO
44,09-01-25,POLY DOFF HARIMAU 3MM,17700000,Lunas,TETAP JAYA
